idx,drug_name,drug_text
184,Alfuzosin,"Benign prostatic hyperplasia (BPH) refers to a benign growth or hyperplasia of the prostate and leads to lower urinary tract symptoms in men, such as urgency, frequency and changes to urine flow. The prevalence of BPH is as high as 50%-60% for males in their 60's, and this prevalence increases to 80%-90% of those over 70.[A228483] Alfuzosin is an alpha-1 adrenergic blocker used in the symptomatic treatment of BPH that works by relaxing the muscles in the prostate and bladder neck.[L31593] It was initially approved by the FDA in 2003 and is marketed by several pharmaceutical companies.[L9251] Alpha(1)-adrenoreceptors  are found in the prostate, bladder base, bladder neck, prostatic capsule, and prostatic urethra; their activation may lead to contraction of smooth muscle and urinary symptoms in patients with BPH.[A180688,L9251] Alfuzosin selectively binds to and inhibits alpha(1)-adrenergic receptors in the lower urinary tract.[A518] This leads to the relaxation of smooth muscle in both"
185,Atenolol,"Atenolol is a cardioselective beta-blocker used in a variety of cardiovascular conditions. 

Sir James Black, a Scottish pharmacologist, pioneered the use of beta-blockers for the management of angina pectoris in 1958 for which he received the Nobel Prize.[A178429] Beta-blockers quickly became popular in clinical use and where subsequently investigated for use in myocardial infarction, arrhythmias, and hypertension during the 1960s. Later they continued to be investigated for use in heart failure throughout the 1970-1980s. Atenolol itself was developed early on in this history by Alvogen Malta under the trade name Tenormin and received FDA approval in September, 1981.[label]

Despite being one of the most widely prescribed beta blockers, evidence suggests atenolol may not significantly Atenolol is a cardioselective beta-blocker, called such because it selectively binds to the β1-adrenergic receptor as an antagonist up to a reported 26 fold more than β2 receptors.[A178372] Selective activity at the β1 receptor produces cardioselectivity due to the higher population of this receptor in cardiac tissue. Some binding to β2 and possibly β3 receptors can still occur at therapeutic dosa"
186,2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE,2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE
187,1-(Isopropylamino)-3-(1-Naphthyloxy)-2-Propanol,1-(Isopropylamino)-3-(1-Naphthyloxy)-2-Propanol
188,Propranolol,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904] Propranolol is a nonselective β-adrenergic receptor antagonist.[A179902] Blocking of these receptors leads to vasoconstriction, inhibition of angiogenic factors like vascular endothelial growth factor (VEGF) and basic growth factor of fibroblasts (bFGF), induction of apoptosis of endothelial cells, as well as down regulation of the renin-angiotensin-aldosterone system.[A179902]"
189,Bosentan,"Bosentan is a dual endothelin receptor antagonist marketed under the trade name Tracleer by Actelion Pharmaceuticals. Bosentan is used to treat pulmonary hypertension by blocking the action of endothelin molecules that would otherwise promote narrowing of the blood vessels and lead to high blood pressure. Endothelin-1 (ET-1) is a neurohormone, the effects of which are mediated by binding to ET<sub>A</sub> and ET<sub>B</sub> receptors in the endothelium and vascular smooth muscle. It displays a slightly higher affinity towards ET<sub>A</sub> receptors than ET<sub>B</sub> receptors. ET-1 concentrations are elevated in plasma and lung tissue of patients with pulmonary arterial hypertension, suggesting"
190,Trametinib,"Trametinib is an orally bioavailable mitogen-activated extracellular signal-regulated kinase 1 (MEK1) and MEK2 inhibitor.[A258298,A258293] It was first approved by the FDA in May 2013 for the treatment of melanoma.[A258298] It was later approved by Health Canada on July 18, 2013 [L45588] and by the European Commission on June 30, 2014.[L45583] Trametinib is currently approved to treat a variety of cancers with BRAF mutations, such as non-small cell lung cancer and thyroid cancer, as monotherapy or in combination with [dabrafenib], a BRAF inhibitor, for improved therapeutic efficacy. Originally developed by Japan Tobacco, trametinib was initially investigated for treating inflammation, but further studies for this indication were not pursued.[A258298] The mitogen-activated protein kinase (MAPK)/extracellular signal-regulated kinases (ERK) pathway, also known as the RAS-RAF-MEK-ERK pathway, activates a cascade of cell surface receptors and intracellular downstream signalling molecules. Activated RAS protein activates RAF, a serine/threonine kinase that activates other downstream proteins [A7496,A258323] such as mitogen-activated extracellular si"
191,Guanfacine,"Guanfacine, or BS 100-141,[A189838,A189841] is a selective alpha-A2 adrenergic receptor agonist initially indicated for the treatment of hypertension[L11274] but is now indicated as an extended release tablet for the treatment of ADHD.[L11277] Guanfacine was first described in the literature in 1974.[A189841]

Guanfacine was granted FDA approval on 27 October 1986.[L11274] Guanfacine is a selective alpha-2A adrenergic receptor agonist, which reduces the effects of the sympathetic nervous system on the heart and circulatory system.[L11277] The link between guanfacine’s molecular mechanism and it’s effect on the treatment of ADHD has not been determined.[L11277]"
192,Metoclopramide,"Diabetic gastroparesis is a condition that causes frequent nausea and vomiting, which has a negative impact on quality of life and poses a significant burden on the healthcare system.[A184934] Metoclopramide is a dopamine antagonist used to treat nausea and vomiting that may be associated with diabetic gastroparesis in addition to gastroesophageal reflux disease (GERD). It can also be used to prevent nausea or vomiting associated with chemotherapy or certain surgical or diagnostic procedures.[L8417] 

One unique property of this drug is that it does not increase gastric acid secretion. It is available in the oral tablet form or in solution, and can also be administered through the intravenous route.[T683] Metoclopramide was initially approved by the FDA in 1980.[A184922] Metoclopramide causes antiemetic effects by inhibiting dopamine D2 and serotonin 5-HT3 receptors in the chemoreceptor trigger zone (CTZ) located in the area postrema of the brain.[A184880,T683] Administration of this drug leads to prokinetic effects via inhibitory actions on presynaptic and postsynaptic D2 receptors, agonism of serotonin 5-HT4 receptors, and antagonism of muscarinic receptor inhib"
193,Fulvestrant,"Fulvestrant is a drug treatment of hormone receptor (HR)-positive metastatic breast cancer in post-menopausal women with disease progression following anti-estrogen therapy. It is an estrogen receptor antagonist with no agonist effects, which works both by down-regulating and by degrading the estrogen receptor. While it is used as monotherapy for the treatment of breast cancers, it is also used in combination with [alpelisib] for the treatment of HR-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CA-mutated, advanced or metastatic breast cancer Fulvestrant competitively and reversibly binds to estrogen receptors present in cancer cells and achieves its anti-estrogen effects through two separate mechanisms. First, fulvestrant binds to the receptors and downregulates them so that estrogen is no longer able to bind to these receptors. Second, fulvestrant degrades the estrogen receptors to which it is bound. Both of these mechanisms inhibit "
194,Acetaminophen,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different According to its FDA labeling, acetaminophen's exact mechanism of action has not been fully established[Label] - despite this, it is often categorized alongside NSAIDs (nonsteroidal anti-inflammatory drugs) due to its ability to inhibit the cyclooxygenase (COX) pathways.[T518] It is thought to exert central actions which ultimately lead to the alleviation of pain symptoms.[T518]

One theory is t"
195,Clobazam,"Clobazam belongs to the 1,5-benzodiazepine class of drugs and is marketed under different names, Onfi, Frisium, Urbanyl, and others.[A256868]. Clobazam was first synthesized in 1966 and first published in 1969, following the incidental synthesis and discovery of the first benzodiazepine chlordiazepoxide in the 1950s.[A256913] Unlike older 1,4-benzodiazepines, clobazam has a better side-effects profile, particularly less sedative and amnesic effects.[A256963,A256868] This is likely because of clobazam's higher affinity to the α<sub>2</sub> subunit of the GABA<sub>A</sub> receptor, which mediates anxiolytic effects, than the α<sub>1</sub> subunit, which mediates sedative effect.[A256868] Additionally, clobazam is believed to be a partial agonist to the GABA<sub>A</sub> receptor rather than n The exact mechanism of action for clobazam, a 1,5-benzodiazepine, is not fully understood but is thought to involve the potentiation of GABAergic neurotransmission resulting from binding at the benzodiazepine site of the GABA<sub>A</sub> receptor.[L44888] Specifically, clobazam binds to the interface of the α<sub>2</sub> and γ<sub>2</sub>-subunit of the GABA<sub>A</sub> receptor.[A256868] It has a"
196,Arformoterol,"Arformoterol is a bronchodilator. It works by relaxing muscles in the airways to improve breathing. Arformoterol inhalation is used to prevent bronchoconstriction in people with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema. The use of arformoterol is pending revision due to safety concerns in regards to an increased risk of severe exacerbation of asthma symptoms, leading to hospitalization as well as death in some patients using long-acting beta agonists for the treatment of asthma. While it is recognized that β2-receptors are the predominant adrenergic receptors in bronchial smooth muscle and β1-receptors are the predominant receptors in the heart, data indicate that there are also β2-receptors in the human heart comprising 10% to 50% of the total beta-adrenergic receptors. The precise function of these receptors has not been established, but they raise the possibility that "
197,Formoterol,"Formoterol is an inhaled beta<sub>2</sub>-agonist used in the management of COPD and asthma that was first approved for use in the United States in 2001.[L10986] It acts on bronchial smooth muscle to dilate and relax airways, and is administered as a racemic mixture of its active (R;R)- and inactive (S;S)-enantiomers.[A189528] A major clinical advantage of formoterol over other inhaled beta-agonists is its rapid onset of action (2-3 minutes), which is at least as fast as [salbutamol], combined with a long duration of action (12 hours) - for this reason, treatment guidelines for asthma recommend its use as both a reliever and maintenance medication.[L11256] It is available as a single-entity product [L10986,L11223] and in several formulations in combination with both inhaled corticosteroids Formoterol is a relatively selective long-acting agonist of beta<sub>2</sub>-adrenergic receptors,[L10986,L11223] although it does carry some degree of activity at beta<sub>1</sub> and beta<sub>3</sub> receptors.[A15544] Beta<sub>2</sub> receptors are found predominantly in bronchial smooth muscle (with a relatively minor amount found in cardiac tissue) whereas beta<sub>1</sub> receptors are the p"
198,Solifenacin,"Solifenacin is a competitive muscarinic receptor antagonist indicated to treat an overactive bladder with urinary incontinence, urgency, and frequency.[L7511] It has a long duration of action as it is usually taken once daily.[L7511]

Solifenacin was granted FDA approval on 19 November 2004.[L7511] Solifenacin is a competitive muscarinic receptor antagonist.[L7511] It has the highest affinity for M3, M1, and M2 muscarinic receptors.[A181247] 80% of the muscarinic receptors in the bladder are M2, while 20% are M3.[A181262] Solifenacin's antagonism of the M3 receptor prevents contraction of the detrusor muscle, while antagonism of the M2 receptor may prevent contraction of smooth muscle in the"
199,Allopurinol,"Gout is a disease that occurs by the deposition of monosodium urate crystals (MSU) in body tissues, especially around joints [A175942].  This disease has been well-documented in historical medical records and appears in the biographies of several prominent, historically recognized individuals [A175942].

Allopurinol is a xanthine oxidase enzyme inhibitor that is considered to be one of the most effective drugs used to decrease urate levels and is frequently used in the treatment of chronic gout [A36705]. It was initially approved by the FDA in 1966 [L5674] and is now formulated by several manufacturers [L5677]. Allopurinol is a structural analog of the natural purine base, hypoxanthine.  After ingestion, allopurinol is metabolized to its active metabolite, oxypurinol (_alloxanthine_) in the liver [T508], which acts as an inhibitor of xanthine oxidase enzyme [FDA label]. 

Allopurinol and its active metabolite inhibit xanthine oxidase, the enzyme that converts hypoxanthine to xanthine and xanthine to ur"
200,Pemetrexed,"Pemetrexed is a chemotherapy drug that is manufactured and marketed by Eli Lilly and Company under the brand name Alimta. It is indicated for use in combination with cisplatin for the treatment of patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery. Its use in non-small cell lung cancer has also been investigated. Pemetrexed was first approved by the FDA in February 4, 2004.[A253907] Pemetrexed is an antifolate containing the pyrrolopyrimidine-based nucleus that exerts its antineoplastic activity by disrupting folate-dependent metabolic processes essential for cell replication. In vitro studies have shown that pemetrexed inhibits thymidylate synthase (TS), dihydrofolate reductase (DHFR), and glycinamide ribonucleotide formyltransferase (GARFT), all folate-dependent enzymes inv"
201,Rufinamide,"Rufinamide is a triazole derivative and an anticonvulsant medication to treat seizure disorders like Lennox-Gastuat syndrome, a form of childhood epilepsy. Clinical trials suggest its efficacy in the treatment of partial seizures. Rufinamide is a triazole derivative antiepileptic that prolongs the inactive state of voltage gated sodium channels thus stabilizing membranes, ultimately blocking the spread of partial seizure activity."
202,Lomefloxacin,"Lomefloxacin is a fluoroquinolone antibiotic, used to treat bacterial infections including bronchitis and urinary tract infections (UTIs). Additionally, it has been employed for the prophylaxis of UTIs prior to surgery as well. Lomefloxacin is a bactericidal fluoroquinolone agent with activity against a wide range of gram-negative and gram-positive organisms. The bactericidal action of lomefloxacin results from interference with the activity of the bacterial enzymes DNA gyrase and topoisomerase IV, which are needed for the transcription and replication of bacterial DNA. DNA gyrase appears to be the primary quinolone targ"
203,Alendronate,"Alendronic acid is a second generation bisphosphonate that is used for the treatment of some forms of osteoperosis and Paget's disease[FDA Label][A959,A203111]. It functions by preventing resorption of bone[FDA Label][A959]. Alendronic acid binds to bone hydroxyapatite[FDA Label]. Bone resorption causes local acidification, releasing alendronic acid which is that taken into osteoclasts by fluid-phase endocytosis[A959]. Endocytic vesicles are acidified, releasing alendronic acid to the cytosol of osteoclasts where they induce apoptosis[A959]. Inhibition of osteoclasts results in decreased bone resorption which is shown"
204,Deferoxamine,"Natural product isolated from Streptomyces pilosus. It forms iron complexes and is used as a chelating agent, particularly in the mesylate form. Deferoxamine works in treating iron toxicity by binding trivalent (ferric) iron (for which it has a strong affinity), forming ferrioxamine, a stable complex which is eliminated via the kidneys. 100 mg of deferoxamine is capable of binding approximately 8.5 mg of trivalent (ferric) iron. Deferoxamine works in treating aluminum toxicity by binding to tissue-bound aluminum to form aluminoxamine, a st"
205,Reboxetine,"Reboxetine is an antidepressant drug used in the treatment of clinical depression, panic disorder and ADD/ADHD. Its mesylate (i.e. methanesulfonate) salt is sold under tradenames including Edronax, Norebox, Prolift, Solvex, Davedax or Vestra. Reboxetine has two chiral centers, but it only exists as two enantiomers, (R,R)-(-)- and (S,S)-(+)-reboxetine. Reboxetine is a selective inhibitor of noradrenaline reuptake. It inhibits noradrenaline reuptake <i>in vitro</i> to a similar extent to the tricyclic antidepressant desmethylimipramine. Reboxetine does not affect dopamine or serotonin reuptake and it has low <i>in vivo</i> and <i>in vitro</i> affinity for adrenergic, cholinergic, histaminergic, dopaminergic and serotonergic receptors."
206,Gadoteridol,"Gadoteridol is a macrocyclic nonionic gadolinium that provides contrast enhancement of the brain, spine, and surrounding tissues, resulting in improved visualization (compared with unenhanced MRI) of lesions with abnormal vascularity or those thought to disrupt the normal blood-brain barrier.[A263076,A263081,L49871] It was 1 of the 3 macrocyclic gadolinium-based contrast agents (GBCAs) that was mandated by the EMA to replace linear gadolinium-based contrast agents due to concerns about retained gadolinium in the brain.[A263076] 

Initially approved by the FDA in 1992, gadoteridol received additional approval in 2020 for use in pediatric patients less than 2 years old.[L49876] Gadoteridol is a paramagnetic agent and, as such, develops a magnetic moment when placed in a magnetic field. The relatively large magnetic moment produced by the paramagnetic agent results in a relatively large local magnetic field, which can enhance the relaxation rates of water protons in the vicinity of the paramagnetic agent.[L49871]

In MRI, visualization of normal and pathologic brain tis"
207,Bromazepam,One of the benzodiazepines that is used in the treatment of anxiety disorders. It is a Schedule IV drug in the U.S. and Canada and under the Convention on Psychotropic Substances. It is a intermediate-acting benzodiazepine. Bromazepam binds to the GABA-A receptor producing a conformational change and potentiating its inhibitory effects. Other neurotransmitters are not influenced.
208,Cyclobenzaprine,"Cyclobenzaprine, a centrally-acting muscle relaxant, was first synthesized in 1961[A185039] and has been available for human use since 1977.[A184982] It was initially studied for use as antidepressant given its structural similarity to tricyclic antidepressants - it differs from [Amitriptyline] by only a single double bond.[A185039,A184982] Since its approval, it has remained relatively popular as an adjunctive, short-term treatment for acute skeletal muscle spasms secondary to musculoskeletal injury. The exact mechanism of action of cyclobenzaprine has not been fully elucidated in humans, and much of the information available regarding its mechanism has been ascertained from early animal studies. There is some evidence that cyclobenzaprine exerts its effects at the supraspinal level, specifically within the locus coeruleus of the brainstem, with little-to-no action at neuromuscular junctions o"
209,Lacosamide,"Lacosamide is an antiepileptic drug used to treat seizures. As a chiral functionalized amino acid, it works by blocking slowly inactivating components of voltage-gated sodium currents. Lacosamide exhibits a stereoselective mode of interaction with sodium channels.[A262681] Lacosamide was first approved by the European Commission in August 2008 and was later approved by the FDA in October 2008.[A262681] It was granted approval by Health Canada in September 2010.[L49206] Caused by neuronal hyperexcitability, seizures in epilepsy involve sustained firing of sodium-dependent action potentials. The slow inactivation process, intrinsic to voltage-gated sodium channel functioning, has been implicated in the paroxysmal depolarizing shifts associated with epileptic activity.[A262616] The exact mechanism of action of lacosamide is not fully known; however, in vitro electr"
210,Nicardipine,"A potent calcium channel blockader with marked vasodilator action. It has antihypertensive properties and is effective in the treatment of angina and coronary spasms without showing cardiodepressant effects. It has also been used in the treatment of asthma and enhances the action of specific antineoplastic agents. [PubChem] By deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, nicardipine inhibits the influx of extracellular calcium across the myocardial and vascular smooth muscle cell membranes The decrease in intracellular calcium inhibits the contractile processes of the myocardial smooth muscle cells, causing dilation of"
211,Sevoflurane,"Sevoflurane is an ether inhalation anesthetic agent used to induce and maintain general anesthesia.[L42340] It is a volatile, non-flammable compound with a low solubility profile and blood/gas partition coefficient.[L42340] Sevoflurane was patented in 1972, was approved for clinical use in Japan in 1990, and approved by the FDA in 1996.[A249885] Sevoflurane is three times more potent than [desflurane], but has lower potency compared to [halothane] and [isoflurane]. Unlike other volatile anesthetics, sevoflurane has a pleasant odor and does not irritate the airway. The hemodynamic and respiratory depressive effects of sevoflurane are well tolerated, and most patients receiving this anesthetic agent present little toxicity.[A249910] Therefore, it can be used for inhalational induction in adu The precise mechanism of action of sevoflurane has not been fully elucidated. Like other halogenated inhalational anesthetics, sevoflurane induces anesthesia by binding to ligand-gated ion channels and blocking CNS neurotransmission. It has been suggested that inhaled anesthetics enhance inhibitory postsynaptic channel activity by binding GABA<sub>A</sub> and glycine receptors, and inhibit excitat"
212,Ibuprofen,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]

On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantio The exact mechanism of action of ibuprofen is unknown. However, ibuprofen is considered an NSAID and thus it is a non-selective inhibitor of cyclooxygenase, which is an enzyme involved in prostaglandin (mediators of pain and fever) and thromboxane (stimulators of blood clotting) synthesis via the arachidonic acid pathway.[L4614]

Ibuprofen is a non-selective COX inhibitor and hence, it inhibits "
213,Gadobenate Dimeglumine,"Gadobenic acid, usually available in the salt form gadobenate dimeglumine, is a linear MRI gadolinium-based contrast agent (GBCA) used primarily for MR imaging of the liver.[A263086] It differs from other GBCAs due to the benzene ring that confers weak protein binding, thus leading to an increased R1 and R2 relaxivity.[A263166] As gadobenate dimeglumine is specifically taken up by hepatocytes and excreted through the biliary system, it is a useful contrast agent for liver MRI.[A1139]

Gadobenate dimeglumine was approved by the FDA in November 2004 under the brand name MultiHance.[A263166] Gadobenate dimeglumine is a paramagnetic agent and, as such, develops a magnetic moment when placed in a magnetic field. The large magnetic moment produced by the paramagnetic agent results in a large local magnetic field, which can enhance the relaxation rates of water protons in its vicinity leading to an increase of signal intensity (brightness) of tissue.[L49936]

In magnetic resonance imagi"
214,Gamma Hydroxybutyric Acid,"Gamma hydroxybutyric acid, commonly abbreviated GHB, is a therapeutic drug which is illegal in multiple countries. It is currently regulated in the US and sold by Jazz Pharmaceuticals under the name Xyrem. However, it is important to note that GHB is a designated Orphan drug (in 1985). Today Xyrem is a Schedule III drug; however GHB remains a Schedule I drug and the illicit use of Xyrem falls under penalties of Schedule I. GHB is a naturally occurring substance found in the central nervous system, wine, beef, small citrus fruits and almost all other living creatures in small amounts. It is used illegally under the street names Juice, Liquid Ecstasy or simply G, either as an intoxicant, or as a date rape drug. Xyrem is a central nervous system depressant that reduces excessive daytime sleep GHB is present at much higher concentrations in the brain, where it activates GABA-B receptors to exert its sedative effects. With high affinity, GHB binds to excitatory GHB receptors that are densely expressed throughout the brain, including the cotex and hippocampus. There is some evidence in research that upon activation of GHB receptors in some brain areas, the excitatory neurotransmitter glut"
215,Clonidine,"Clonidine is an imidazole derivate that acts as an agonist of alpha-2 adrenoceptors.[A180559] This activity is useful for the treatment of hypertension, severe pain, and ADHD.[L7237,L7240,L7243,L7246]

Clonidine was granted FDA approval on 3 September 1974.[L7237] Clonidine is primarily an alpha-2 adrenoceptor agonist which causes central hypotensive and anti-arrhythmogenic effects.[A180559] The alpha-2 adrenoceptor is coupled to the G-proteins G<sub>o</sub> and G<sub>i</sub>.[A180559] G<sub>i</sub> inhibits adenylyl cyclase and activates opening of a potassium channel that causes hyperpolarization.[A180559] Clonidine binding to the alpha-2 adrenoceptor cau"
216,Fondaparinux sodium,"Fondaparinux (Arixtra) is a synthetic anticoagulant agent consisting of five monomeric sugar units and a O-methyl group at the reducing end of the molecule. It is structurally similar to polymeric glycosaminoglycan heparin and heparan sulfate (HS) when they are cleaved into monomeric units. The monomeric sequence in heparin and HS is thought to form the high affinity binding site for the natural anti-coagulant factor, antithrombin III (ATIII). Once bound to heparin or HS, the anticoagulant activity of ATIII is potentiated by 1000-fold. Fondaparinux potentiates the neutralizing action of ATIII on activated Factor X 300-fold. Fondaparinux may be used: to prevent venous thromboembolism in patients who have undergone orthopedic surgery of the lower limbs (e.g. hip fracture, hip replacement and The antithrombotic activity of fondaparinux is the result of ATIII-mediated selective inhibition of Factor Xa. By selectively binding to ATIII, Fondaparinux potentiates (about 300 times) the neutralization of Factor Xa by ATIII. Neutralization of Factor Xa interrupts the blood coagulation cascade and thus inhibits thrombin formation and thrombus development. It is thought that fondaparinux is unli"
217,Terazosin,"Terazosin is a quinazoline derivative alpha-1-selective adrenergic blocking agent indicated for benign prostatic hyperplasia and hypertension[FDA Label][A176831]. Terazosin blocks adrenaline's action on alpha-1 adrenergic receptors, causing relaxation of smooth muscle in blood vessels and the prostate[A176837]. Terazosin is selective for alpha-1-adrenoceptors but not their individual subtypes[A5212,A5457]. Inhibition of these alpha-1-adrenoceptors results in relaxation of smooth muscle in blood vessels and the prostate, lowering blood pressure and improving urinary flow[A176831,A176837,A5212,A5457]. Smooth muscle cells accounts for roughly 40% of the volume of the prostate and so their relaxation reduces"
218,Penciclovir,"Penciclovir is a synthetic acyclic guanine derivative with antiviral activity used for the treatment of various herpes simplex virus (HSV) infections. Displaying low toxicity and good selectivity, penciclovir is a nucleoside analogue. Penciclovir has <i>in vitro</i> activity against herpes simplex virus types 1 (HSV-1) and 2 (HSV-2). In cells infected with HSV-1 or HSV-2, viral thymidine kinase phosphorylates penciclovir to a monophosphate form. The monophosphate form of the drug is then converted to penciclovir triphosphate by cellular kinases. The intracellular triphosphate of penciclovir is retained <i>in vitro</i> inside HS"
219,Lapatinib,"Lapatinib is an anti-cancer drug developed by GlaxoSmithKline (GSK) as a treatment for solid tumours such as breast and lung cancer. It was approved by the FDA on March 13, 2007, for use in patients with advanced metastatic breast cancer in conjunction with the chemotherapy drug capecitabine. Lapatinib is a human epidermal growth factor receptor type 2 (HER2/ERBB2) and epidermal growth factor receptor (HER1/EGFR/ERBB1) tyrosine kinases inhibitor. It binds to the intracellular phosphorylation domain to prevent receptor autophosphorylation upon ligand binding. Lapatinib is a 4-anilinoquinazoline kinase inhibitor of the intracellular tyrosine kinase domains of both epidermal growth factor receptor (HER1/EGFR/ERBB1) and human epidermal growth factor receptor type 2 (HER2/ERBB2)with a dissociation half-life of &ge;300 minutes. Lapatinib inhibits ERBB-driven tumor cell growth in vitro and in various animal models. An additive effect was demonstrated in an i"
220,Lercanidipine,"Lercanidipine is a calcium channel blocker of the dihydropyridine class. It is sold under various commercial names including Zanidip. By deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, Lercanidipine inhibits the influx of extracellular calcium across the myocardial and vascular smooth muscle cell membranes The decrease in intracellular calcium inhibits the contractile processes of the myocardial smooth muscle cells, causing dilation "
221,Desvenlafaxine,"Desvenlafaxine (O-desmethylvenlafaxine) is the 0-demetyhlated active metabolite of [venlafaxine]. Like its parent drug, desvenlafaxine is also an antidepressant belonging to the class of serotonin-norepinephrine reuptake inhibitor (SNRI) class.[A261266,A261266] It was approved by the FDA in 2008 for the treatment of adults with major depressive disorder (MDD).[L6016,A261271]

MDD is a highly prevalent psychiatric disorder, with a lifetime prevalence estimate of 16% in the US alone and 12.8% in Europe. Although the exact mechanism of pathophysiology is still unknown, imbalances or deficiencies of monoamines have been heavily implicated, thus the rationale behind the use of SNRI to treat MDD.[A261271] Desvenlafaxine has a very similar pharmacological, efficacy, and safety profile as [venla The exact mechanism of the antidepressant action of desvenlafaxine is unknown but is thought to be related to the potentiation of serotonin and norepinephrine in the central nervous system, through inhibition of their reuptake.[L47936] Particularly, desvenlafaxine has been found to inhibit the serotonin, norepinephrine, and dopamine transporters with varying degrees of affinity. Desvenlafaxine inh"
222,Cidofovir,"Cidofovir is an injectable antiviral medication employed in the treatment of cytomegalovirus (CMV) retinitis in patients diagnosed with AIDS. It suppresses CMV replication through selective inhibition of viral DNA synthesis.[FDA label] It was manufactured by _Gilead_ and initially approved by the FDA in 1996, but has since been discontinued.[L6223] Cidofovir acts through the selective inhibition of viral DNA polymerase.Biochemical data support selective inhibition of CMV DNA polymerase by cidofovir diphosphate, the active intracellular metabolite of cidofovir. Cidofovir diphosphate inhibits herpesvirus polymerases at concentrations that are 8- to 600-fold lower than those needed to inhibit human cellular DNA polymerase alpha, beta, and gamma"
223,Ezetimibe,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distin Ezetimibe mediates its blood cholesterol-lowering effect via selectively inhibiting the absorption of cholesterol and phytosterol by the small intestine without altering the absorption of fat-soluble vitamins and nutrients.[A15202] The primary target of ezetimibe is the cholesterol transport protein Niemann-Pick C1-Like 1 (NPC1L1) protein. NPC1L1 is expressed on enterocytes/gut lumen (apical) as w"
224,Nevirapine,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class. Nevirapine binds directly to reverse transcriptase (RT) and blocks the RNA-dependent and DNA-dependent DNA polymerase activities by causing a disruption of the enzyme's catalytic site. The activity of nevirapine does not compete with template or nucleoside triphosphates."
225,Etoricoxib,"Etoricoxib is a new COX-2 selective inhibitor. Current therapeutic indications are: treatment of rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, chronic low back pain, acute pain and gout. Like any other COX-2 selective inhibitor, Etoricoxib selectively inhibits isoform 2 of cyclo-oxigenase enzyme (COX-2) to reduce the generation of prostaglandins (PGs) from arachidonic acid. It is approved in more than 60 countries worldwide but not in the US. Like any other COX-2 selective inhibitor Etoricoxib selectively inhibits isoform 2 of cyclo-oxigenase enzyme (COX-2), preventing production of prostaglandins (PGs) from arachidonic acid."
