idx,se_name,se_text,benchmark_idx
254,drug eruption,"Drug eruption. Also known as: Dermatitis due to drugs and medicaments taken internally, Dermatitis due to drugs and medicines taken internally, Dermatitis medicamentosa",323
255,drug hypersensitivity,"Drug hypersensitivity. Also known as: Allergic reaction to antibiotics, Drug allergy, Drug hypersensitivity",739
256,drug ineffective,"Drug ineffective. Also known as: Drug effect lack of, Drug ineffective, Efficacy lack",885
257,dry eye,"Dry eye. Also known as: Conjunctival xerosis, Dry eye, Dry eye NOS",136
258,dry mouth,"Dry mouth. Also known as: Dry mouth, Dryness oral, Mouth became dry",708
259,dry skin,"Dry skin. Also known as: Dry skin, Drying, Hot dry skin",67
260,dry throat,"Dry throat. Also known as: Dry throat, Pharynx dry, Throat dry",551
261,duodenal ulcer,"Duodenal ulcer. Also known as: Acute duodenal ulcer, Acute duodenal ulcer without mention of haemorrhage or perforation, Acute duodenal ulcer without mention of hemorrhage or perforation",830
262,duodenitis,"Duodenitis. Also known as: Duodenitis, Duodenitis, without mention of hemorrhage, Peptic duodenitis",279
263,dysaesthesia,"Dysaesthesia. Also known as: Dysaesthesia, Dysesthesia thigh, Dysesthesia extremity",827
264,dysarthria,"Dysarthria. Also known as: Dysarthria, Inarticulateness, Slurred speech",636
265,dysgeusia,"Dysgeusia. Also known as: After taste, Bad taste, Dysgensia",483
266,dyskinesia,"Dyskinesia. Also known as: Abnormal involuntary movements, Acute dyskinesia, Body movements involuntary",107
267,dysmenorrhoea,"Dysmenorrhoea. Also known as: Cramps menstrual, Dysmenorrhea, Dysmenorrhoea",485
268,dyspareunia,"Dyspareunia. Also known as: Coitus painful, Deep dyspareunia, Dyspareunia",201
269,dyspepsia,"Dyspepsia. Also known as: Acid dyspepsia, Acid indigestion, Difficult digestion",881
270,dysphagia,"Dysphagia. Also known as: Deglutition disorder, Disorder deglutition, Dysphagia",640
271,dysphonia,"Dysphonia. Also known as: Distorted voice, Disturbance in loudness, Dysphonia",737
272,dysphoria,Dysphoria. Also known as: Dysphoria,324
273,dyspnoea,"Dyspnoea. Also known as: Air hunger, Breath shortness, Breathing difficult",300
274,dyspnoea exertional,"Dyspnoea exertional. Also known as: DOE, Dyspnea exertional, Dyspnoea exertional",941
275,dysuria,"Dysuria. Also known as: Burning micturition, Difficulty in micturition, Difficulty voiding",906
276,ear disorder,"Ear disorder. Also known as: Degenerative and vascular disorders of ear, Disorder ear, Ear disorder",341
277,ear infection,"Ear infection. Also known as: Ear infection, Ear infection NOS, Otitis",599
278,ear pain,"Ear pain. Also known as: Ear ache, Ear pain, Earache",429
279,ecchymosis,"Ecchymosis. Also known as: Ecchymoses, Ecchymosis, Ecchymosis NOS",232
280,eczema,"Eczema. Also known as: Dermatitis eczematoid, Eczema, Eczema (rash) in the outer ear",661
281,ejaculation delayed,"Ejaculation delayed. Also known as: Ejaculation delayed, Ejaculation inhibited",358
282,ejaculation disorder,"Ejaculation disorder. Also known as: Abnormal ejaculation, Ejaculation abnormal, Ejaculation disorder",190
283,ejaculation failure,"Ejaculation failure. Also known as: Ejaculation decreased, Ejaculation failure, Anejaculation",114
284,electrocardiogram abnormal,"Electrocardiogram abnormal. Also known as: Abnormal ECG, Abnormal EKG, Disorder ECG/EKG (NOS)",477
285,electrocardiogram qt prolonged,"Electrocardiogram QT prolonged. Also known as: Electrocardiogram QT corrected interval prolonged, Electrocardiogram QT prolonged, Long QT",949
286,electrocardiogram st segment depression,"Electrocardiogram ST segment depression. Also known as: Electrocardiogram ST segment depression, ST depressed, ST segment depressed",153
287,electroencephalogram abnormal,"Electroencephalogram abnormal. Also known as: Abnormal EEG, Abnormal electroencephalogram, Alpha or Beta wave disappeared",276
288,electrolyte imbalance,"Electrolyte imbalance. Also known as: Disorders of fluid, electrolyte and acid-base balance, Electrolyte abnormality, Electrolyte and fluid balance disorder NOS",805
289,embolism,"Embolism. Also known as: Embolism NOS, Embolism - blood clot, Embolism embolus",503
290,embolism venous,"Embolism venous. Also known as: Embolism and thrombosis of other specified veins, Embolism and thrombosis of unspecified site, Embolism venous",535
291,emotional disorder,"Emotional disorder. Also known as: Emotional disorder, Emotional disturbance NOS, Emotional problems",843
292,emphysema,"Emphysema. Also known as: Compensatory emphysema, Emphysema, Emphysema pulmonary",89
293,encephalopathy,"Encephalopathy. Also known as: Encephalopathy, Encephalopathy acute, Encephalopathy chronic",151
294,endocrine disorder,"Endocrine disorder. Also known as: Disorder endocrine, Endocrine disorder, Endocrine disorder NOS",241
295,endometrial disorder,"Endometrial disorder. Also known as: Disorder endometrial, Endometrial disorder, Endometrial disorder NOS",222
296,endophthalmitis,"Endophthalmitis. Also known as: Acute endophthalmitis, Chronic endophthalmitis, Endophthalmitis",142
297,enteritis,"Enteritis. Also known as: Active ileal inflammation, Enteritis, Ileitis",422
298,enterocolitis,"Enterocolitis. Also known as: Enterocolitis, Ileocolitis, Chronic enterocolitis",904
299,enuresis,"Enuresis. Also known as: Bed wetting, Enuresis, Enuresis (emotional origin, exc incontinence NOS)",682
300,eosinophilia,"Eosinophilia. Also known as: Eosinophilia, Eosinophilia (excl pulmonary), Eosinophilic granulocytosis",270
301,epididymitis,"Epididymitis. Also known as: Epididymitis, Epididymitis NOS, Epididymal infection",287
302,epigastric discomfort,"Epigastric discomfort. Also known as: Discomfort epigastric, Gastric irritation, Irritable stomach",863
303,epistaxis,"Epistaxis. Also known as: Bleeding nose, Epistaxis, Haemorrhage nasal",958
304,erectile dysfunction,"Erectile dysfunction. Also known as: Erectile disturbance, Erection decreased, Erection failure",943
305,eructation,"Eructation. Also known as: Belching, Burbulence, Burping",919
306,erythema,"Erythema. Also known as: Erythema, Erythema auricular, Erythema circumocular-blepharal",175
307,erythema multiforme,"Erythema multiforme. Also known as: Bullous erythema multiforme, EM, Erythema exsudativum multiforme",258
308,erythema nodosum,"Erythema nodosum. Also known as: Erythema nodosum, Erythema nodosum-like lesion, Erythema Nodosum",910
309,erythema of eyelid,"Erythema of eyelid. Also known as: Erythema of eyelid, Redness of eyelid, Hyperaemia eyelid",558
310,euphoric mood,"Euphoric mood. Also known as: Elevated mood, Euphoria, Euphoric",861
311,excoriation,excoriation,257
312,exophthalmos,"Exophthalmos. Also known as: Bulging eyes, Constant exophthalmos, Exophthalmos",978
313,exostosis,"Exostosis. Also known as: Bone spur, Calcaneal spur, Exostosis",81
314,extrapyramidal disorder,"Extrapyramidal disorder. Also known as: Benign shuddering attacks, Drug-induced extrapyramidal side effects, Extrapyramidal disorder",901
315,extrasystoles,"Extrasystoles. Also known as: Bigeminal rhythm, Bigeminy, Coupled beats",577
316,extravasation,"Extravasation. Also known as: Extravasation, Extravasation NOS",250
317,eye discharge,"Eye discharge. Also known as: Burning discharge eyes, Discharge eye, Eye discharge",29
318,eye disorder,"Eye disorder. Also known as: Disorder eye, Disorder of eye, unspecified, Eye abnormality",13
319,eye haemorrhage,"Eye haemorrhage. Also known as: Eye haemorrhage, Eye haemorrhage NOS, Eye hemorrhage",702
320,eye infection,"Eye infection. Also known as: Eye infection, Eye infection NOS, Parasitic infestation of orbit",831
321,eye irritation,"Eye irritation. Also known as: Burning eyes, Burning in eyes, Burning sensation in eye",647
322,eye oedema,"Eye oedema. Also known as: Eye oedema, Eye edema",440
323,eye pain,"Eye pain. Also known as: Aching eye socket, Eye ache, Eye pain",896
324,eye pruritus,"Eye pruritus. Also known as: Eye itching, Eyeball itching, Itching eyes",848
325,eye swelling,"Eye swelling. Also known as: Eye swelling, Eyes swollen, Swelling or mass of eye",545
326,eyelid oedema,"Eyelid oedema. Also known as: Edema eyelid, Edema of eyelid, Eyelid edema",786
327,face oedema,"Face oedema. Also known as: Edema face, Face edema, Face oedema",766
328,faecalith,"Faecalith. Also known as: Faecalith, Fecalith, Stercolith",857
329,faecaloma,"Faecaloma. Also known as: Faecal impaction, Faecal impaction (causing obstruction), Faecal impaction (excl obstruction)",812
330,faeces discoloured,"Faeces discoloured. Also known as: Black stools, Discoloration fecal, Discoloration stool",902
331,fasting,"Fasting. Also known as: Fasting, Intermittent Fasting, Fasting, Intermittent",591
332,fatigue,"Fatigue. Also known as: Enervation, Exhaustion, Exhaustion due to excessive exertion",799
333,febrile neutropenia,"Febrile neutropenia. Also known as: Febrile neutropenia, Neutropenic fever, Febrile Neutropenia",583
334,feeling abnormal,"Feeling abnormal. Also known as: Cotton wool in head, Feeling abnormal, Feeling bad",95
335,feeling cold,"Feeling cold. Also known as: Chilliness, Coldness, Coldness general",344
336,feeling drunk,"Feeling drunk. Also known as: Drunk-like effect, Drunkenness feeling of, Feeling drunk",376
337,feeling hot,"Feeling hot. Also known as: Extremities hot feeling of, Feeling hot, Feeling of warmth",233
338,feeling jittery,"Feeling jittery. Also known as: Feeling jittery, Jitteriness",770
339,fibrocystic breast disease,"Fibrocystic breast disease. Also known as: Adenosis sclerosing, Breast cystic fibrosis, Breast fibrocystic",592
340,flank pain,"Flank pain. Also known as: Flank pain, Pain flank, Side stitch",557
341,flat affect,"Flat affect. Also known as: Affect lack, Affect loss, Detachment emotional",246
342,flatulence,"Flatulence. Also known as: Abdominal wind, Air in intestines, Air in stomach",209
343,fluid overload,fluid overload,691
344,fluid retention,"Fluid retention. Also known as: Body fluid retention, Extracellular fluid increased, Fluid retention",940
345,flushing,"Flushing. Also known as: Facial flushing, Flushed, Flushed chest",823
346,foetor hepaticus,"Foetor hepaticus. Also known as: Fector hepaticus, Fetor hepaticus, Foetor hepaticus",162
347,folliculitis,"Folliculitis. Also known as: Folliculitis, Pustular folliculitis, Scalp folliculitis",308
348,fracture,"Fracture. Also known as: Bone fracture (not spontaneous), Fracture, Fracture bone",362
349,functional gastrointestinal disorder,"Functional gastrointestinal disorder. Also known as: Bowel dysfunction, Colonic dysfunction, Functional bowel syndrome",1
350,fungal infection,"Fungal infection. Also known as: Fungal infection, Fungal infection NOS, Infection fungal",145
351,fungal skin infection,"Fungal skin infection. Also known as: Dermatitis fungal, Dermatitis fungal NOS, Dermatitis fungoid",30
352,furuncle,"Furuncle. Also known as: Boil, Boil in external ear, Boil in nose",164
353,gait disturbance,"Gait disturbance. Also known as: Abnormal gait, Abnormality of gait, Difficulty in walking",31
354,galactorrhoea,"Galactorrhoea. Also known as: Female lactation, Galactorrhea, Galactorrhea associated with childbirth, unspecified as to episode of care",111
355,gamma-glutamyltransferase increased,"Gamma-glutamyltransferase increased. Also known as: Gamma glutamyl transpeptidase increased, Gamma GT increased, Gamma GT raised",731
356,gangrene,"Gangrene. Also known as: Gangrene, Gangrene cutaneous, Gangrene hemorrhagic",363
357,gastric ulcer,"Gastric ulcer. Also known as: Acute gastric ulcer without mention of haemorrhage or perforation, Acute gastric ulcer without mention of hemorrhage or perforation, Acute gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction",586
358,gastritis,"Gastritis. Also known as: Acute gastritis, Acute gastritis, without mention of hemorrhage, Gastric inflammation",615
359,gastroenteritis,"Gastroenteritis. Also known as: Gastroenteritis, Gastroenteritis NOS, Gastroenterocolitis",347
360,gastrointestinal carcinoma,"Gastrointestinal carcinoma. Also known as: Carcinoma gastrointestinal, Carcinoma intestinal, Gastrointestinal carcinoma",186
361,gastrointestinal disorder,"Gastrointestinal disorder. Also known as: Disorder gastrointestinal, Disorders of function of stomach, Functional digestive disorders, not elsewhere classified",606
362,gastrointestinal haemorrhage,"Gastrointestinal haemorrhage. Also known as: Acute on chronic G.I. haemorrhage, Bleeding gastrointestinal, Gastro intestinal bleed",265
363,gastrointestinal infection,"Gastrointestinal infection. Also known as: Gastrointestinal infection, Gastrointestinal infection NOS, GI infection",296
364,gastrointestinal pain,"Gastrointestinal pain. Also known as: Colonospasm, Gastrointestinal pain, Gastrointestinal pain NOS",825
365,gastrointestinal perforation,"Gastrointestinal perforation. Also known as: Gastrointestinal perforation, Gastrointestinal perforation (NOS), Gastrointestinal perforation NOS",884
366,gastrointestinal ulcer,"Gastrointestinal ulcer. Also known as: Gastro-intestinal ulcer NOS, Gastrointestinal ulcer NOS, Ulcer gastrointestinal",774
367,gastrooesophageal reflux disease,"Gastrooesophageal reflux disease. Also known as: Acid reflux (oesophageal), Esophageal reflux, Gastrooesophageal reflux",332
368,generalised oedema,"Generalised oedema. Also known as: Anasarca, Edema generalized, Generalised oedema",810
369,genital candidiasis,"Genital candidiasis. Also known as: Candidiasis genital, Candidiasis of other urogenital sites, Genital candida",102
370,gingival bleeding,"Gingival bleeding. Also known as: Bleeding from teeth, Bleeding gingival, Gingival bleeding",705
371,gingival pain,"Gingival pain. Also known as: Gingival pain, Gum pain, Pain gum",929
372,gingivitis,"Gingivitis. Also known as: Acute gingivitis, Chronic gingivitis, Gingivitis",355
373,glaucoma,"Glaucoma. Also known as: Corticosteroid-induced glaucoma, Corticosteroid-induced glaucoma, glaucomatous stage, Corticosteroid-induced glaucoma, residual stage",704
374,glossitis,"Glossitis. Also known as: Glossitis, Glossitis acute, Inflammation tongue",181
375,glossodynia,"Glossodynia. Also known as: Glossodynia, Pain tongue, Sore tongue",453
376,glucose tolerance impaired,"Glucose tolerance impaired. Also known as: Abnormal glucose tolerance, Borderline diabetes, Chemical diabetes",0
377,glycosuria,"Glycosuria. Also known as: Glycosuria, Glycosuria aggravated, Glucosuria",657
378,goitre,"Goitre. Also known as: Dyshormonogenic goiter, Dyshormonogenic goitre, Enlarged thyroid",622
379,gout,"Gout. Also known as: Articular gout, Gout, Gout acute",384
380,gravitational oedema,"Gravitational oedema. Also known as: Dependent oedema, Edema dependent, Gravitational edema",17
381,gynaecomastia,"Gynaecomastia. Also known as: Breast enlargement male, Breast enlargement male bilateral, Enlargement breast male",954
382,haematemesis,"Haematemesis. Also known as: Blood clot discharge, Coffee ground vomiting, Emesis bloody",140
383,haematochezia,"Haematochezia. Also known as: Blood in stool, Blood stool, Bloody stool",952
384,haematocrit decreased,"Haematocrit decreased. Also known as: Haematocrit decreased, Haematocrit low, Haematocrit value decreased",331
385,haematoma,"Haematoma. Also known as: Haematoma, Haematoma NOS, Hematoma",814
386,haematuria,"Haematuria. Also known as: Frank haematuria, Haematuria, Haematuria microscopic",449
387,haemoglobin,"Haemoglobin. Also known as: Haem, Haemoglobin, Hem",530
388,haemoglobin decreased,"Haemoglobin decreased. Also known as: Decreased hemoglobin, Haemoglobin decreased, Haemoglobin low",790
389,haemolytic anaemia,"Haemolytic anaemia. Also known as: Acquired haemolytic anaemia, Acquired haemolytic anaemia, unspecified, Acquired haemolytic anaemias",378
390,haemolytic uraemic syndrome,"Haemolytic uraemic syndrome. Also known as: Haemolytic uraemic syndrome, Haemolytic-uraemic syndrome, Hemolytic uremic syndrome",410
391,haemoptysis,"Haemoptysis. Also known as: Blood streaked sputum, Coughing blood, Haemoptysis",176
392,haemorrhage,"Haemorrhage. Also known as: Bleeding, Blood loss of (NOS), Haemorrhage NOS",908
393,haemorrhage intracranial,"Haemorrhage intracranial. Also known as: Bleeding intracranial, Haemorrhage intracranial, Hemorrhage intracranial",472
394,haemorrhagic disorder,"Haemorrhagic disorder. Also known as: Haemorrhage abnormal, Haemorrhagic disorder, Haemorrhagic disorder due to circulating anticoagulants",933
395,haemorrhoids,"Haemorrhoids. Also known as: External haemorrhoids, External haemorrhoids with other complication, External haemorrhoids without mention of complication",28
396,hair colour changes,"Hair colour changes. Also known as: Hair colour changes, Hair colour renewed, Hair darkened",696
397,hair disorder,"Hair disorder. Also known as: Abnormalities of the hair, Diseases of hair and hair follicles, Disorder hair",72
398,hair texture abnormal,"Hair texture abnormal. Also known as: Curly hair straightened, Dry hair, Hair dryness",974
399,hallucination,"Hallucination. Also known as: Drug-induced hallucinosis, Hallucinating, Hallucination",118
400,hangover,"Hangover. Also known as: Hangover, Hangover (excl alcohol), Hangover effect",858
401,headache,"Headache. Also known as: Cephalalgia, Cephalalgia or cephalgia, Cephalgia",589
402,hemiplegia,"Hemiplegia. Also known as: Flaccid hemiplegia, Hemiplegia, Hemiplegia (left)",847
403,hepatic cancer,"Hepatic cancer. Also known as: Cancer of liver resectable, Cancer of liver, primary, Cancer of liver, primary, non-resectable",383
404,hepatic enzyme increased,"Hepatic enzyme increased. Also known as: Elevated liver enzyme levels, Elevated liver enzymes, Hepatic enzymes increased",607
405,hepatic failure,"Hepatic failure. Also known as: Failure liver, Hepatic failure, Liver failure",675
406,hepatic function abnormal,"Hepatic function abnormal. Also known as: Acute derangement of liver function, Dysfunction hepatic nonicteric, Function liver abnormal",433
407,hepatic necrosis,"Hepatic necrosis. Also known as: Acute and subacute necrosis of liver, Hepatic lobule necrosis, Hepatic necrosis",697
408,hepatic steatosis,"Hepatic steatosis. Also known as: Degeneration fatty liver, Fatty liver, Fatty liver infiltration",260
409,hepatitis,"Hepatitis. Also known as: Hepatitis, Hepatitis in other infectious diseases classified elsewhere, Hepatitis nonicteric",462
410,hepatitis cholestatic,"Hepatitis cholestatic. Also known as: Cholestatic hepatitis, Hepatitis cholestatic, Hepatitis toxic obstructive",101
411,hepatobiliary disease,"Hepatobiliary disease. Also known as: Hepatobiliary disease NOS, Hepatobiliary disease",267
412,hepatocellular injury,"Hepatocellular injury. Also known as: Disease hepatocellular, Hepatic intracellular deposit of bilirubin, Hepatic intracellular pigmentation",218
413,hepatomegaly,"Hepatomegaly. Also known as: Hepatomegaly, Liver enlargement, Enlarged Liver",412
414,hepatotoxicity,"Hepatotoxicity. Also known as: Hepatotoxic effect, Hepatotoxicity, Hepatotoxicity aggravated",408
415,hernia,"Hernia. Also known as: Hernia, Hernia NOS, Hernia of other specified sites",507
416,herpes simplex,"Herpes simplex. Also known as: Herpes hominis type II, Herpes simplex, Herpes simplex NOS",264
417,herpes virus infection,"Herpes virus infection. Also known as: Herpes infection, Herpes NOS, Herpes viral infection NOS",254
418,herpes zoster,"Herpes zoster. Also known as: Herpes zoster, Herpes zoster (excl ophthalmic), Herpes zoster C2",179
419,hiatus hernia,"Hiatus hernia. Also known as: Axial hiatal hernia, H hernia, Hernia hiatal",725
420,hiccups,"Hiccups. Also known as: Hiccough, Hiccup, Hiccups",327
421,hirsutism,"Hirsutism. Also known as: Hirsuitism, Hirsutism, Idiopathic hirsutism",981
422,hostility,"Hostility. Also known as: Hostility, Hostilities",141
423,hot flush,"Hot flush. Also known as: Aggravation of hot flushes, Exacerbation of hot flushes, Feeling of hot flushes",192
424,hyperacusis,"Hyperacusis. Also known as: Auditory hyperacuity, Hearing abnormally acute, Hyperacusis",237
425,hyperaemia,"Hyperaemia. Also known as: Hyperaemia, Hyperemia, Hyperemias",395
426,hyperaesthesia,"Hyperaesthesia. Also known as: Hyperaesthesia, Hyperaesthesia skin, Hyperaesthesia symmetric of limbs",125
427,hyperbilirubinaemia,"Hyperbilirubinaemia. Also known as: Aggravated bilirubinemia, Bilirubinaemia, Bilirubinaemia aggravated",944
428,hypercalcaemia,"Hypercalcaemia. Also known as: Calcium repletion serum, Hypercalcaemia, Hypercalcemia",883
429,hypercalciuria,"Hypercalciuria. Also known as: Hypercalcinuria, Hypercalciuria, Idiopathic hypercalciuria",792
430,hypercholesterolaemia,"Hypercholesterolaemia. Also known as: Cholesterol blood excessive, Hypercholesteremia, Hypercholesterolaemia",845
431,hyperglycaemia,"Hyperglycaemia. Also known as: Drug-induced hyperglycaemia, Hyperglycaemia, Hyperglycaemia drug-induced",816
432,hyperhidrosis,"Hyperhidrosis. Also known as: Diaphoresis, Drenching sweats, Excess sweating",510
433,hyperkalaemia,"Hyperkalaemia. Also known as: Hyperkalaemia, Hyperkalemia, Hyperpotassaemia",515
434,hyperkeratosis,"Hyperkeratosis. Also known as: Acquired keratoderma, Callosities, Callosity",59
435,hyperkinesia,"Hyperkinesia. Also known as: Hyperkinesia, Hyperkinesis, Hyperkinetic reaction",419
436,hyperlactacidaemia,"Hyperlactacidaemia. Also known as: Hyperlactacidaemia, Hyperlactacidemia, Symptomatic hyperlactataemia",301
437,hyperlipidaemia,"Hyperlipidaemia. Also known as: Hyperlipaemia, Hyperlipemia, Hyperlipidaemia NOS",411
438,hypermagnesaemia,"Hypermagnesaemia. Also known as: Hypermagnesaemia, Hypermagnesemia",694
439,hypernatraemia,"Hypernatraemia. Also known as: Hypernatraemia, Hypernatremia, Salt retention",989
440,hyperpathia,Hyperpathia. Also known as: Hyperpathia,689
441,hyperphosphataemia,"Hyperphosphataemia. Also known as: Hyperphosphataemia, Hyperphosphatemia, Hyperphosphatemias",638
442,hyperreflexia,"Hyperreflexia. Also known as: Achilles tendon reflex exaggerated, Exaggerated reflexes, Hyperreflexia",716
443,hypersensitivity,"Hypersensitivity. Also known as: Acute allergic reaction, Allergic reaction, Allergic reaction NOS",303
444,hypersomnia,"Hypersomnia. Also known as: Hypersomnia, Hypersomnia related to another mental condition, Other hypersomnia",783
445,hypertension,"Hypertension. Also known as: Blood pressure high, Blood pressure increased refractory, HBP",488
446,hyperthyroidism,"Hyperthyroidism. Also known as: Hyperthyroidism, Hyperthyroidism aggravated, Thyrotoxicosis",866
447,hypertonia,"Hypertonia. Also known as: Generally increased tone, Hypertonia, Hypertonicity",779
448,hypertrichosis,"Hypertrichosis. Also known as: Hairiness, Hypertrichosis, Hypertrichosis aggravated",421
449,hypertriglyceridaemia,"Hypertriglyceridaemia. Also known as: Hypertriglyceridaemia, Hypertriglyceridemia, Pure hyperglyceridaemia",741
450,hyperuricaemia,"Hyperuricaemia. Also known as: Hyperuricaemia, Hyperuricaemic, Hyperuricemia",877
451,hyperventilation,"Hyperventilation. Also known as: Breathing abnormally deep, Hyperpnea, Hyperpnoea",669
452,hypoaesthesia,"Hypoaesthesia. Also known as: Body numbness, Hypalgesia, Hypesthesia",630
453,hypoaesthesia oral,"Hypoaesthesia oral. Also known as: Hypoaesthesia oral NOS, Hypoaesthesia tongue, Numbness circumoral",802
454,hypoalbuminaemia,"Hypoalbuminaemia. Also known as: Hypoalbuminaemia, Hypoalbuminemia",559
455,hypocalcaemia,"Hypocalcaemia. Also known as: Hypocalcaemia, Hypocalcemia, Hypocalcemias",987
456,hypochloraemia,"Hypochloraemia. Also known as: Hypochloraemia, Hypochloremia",146
457,hypochromic anaemia,"Hypochromic anaemia. Also known as: Anaemia hypochromic, Anaemia- Hypochromic microcytic picture, Anemia hypochromic",560
458,hypoglycaemia,"Hypoglycaemia. Also known as: Hypoglycaemia, Hypoglycaemia night, Hypoglycaemia NOS",60
459,hypohidrosis,"Hypohidrosis. Also known as: Hyphidrosis, Hypohidrosis, Sweating decreased",180
460,hypokalaemia,"Hypokalaemia. Also known as: Hypokalaemia, Hypokalemia, Hypopotassaemia",838
461,hypokinesia,"Hypokinesia. Also known as: Activity motor retarded, Hypokinesia, Motor activity retarded",25
462,hypomagnesaemia,"Hypomagnesaemia. Also known as: Hypomagnesaemia, Hypomagnesemia",46
463,hypomania,"Hypomania. Also known as: Hypomania, Hypomanic psychosis",835
464,hyponatraemia,"Hyponatraemia. Also known as: Hyponatraemia, Hyponatremia, Hyponatremic",64
465,hypophosphataemia,"Hypophosphataemia. Also known as: Hypophosphataemia, Hypophosphatemia, Phosphorus deficiency",171
466,hypoproteinaemia,"Hypoproteinaemia. Also known as: Hypoproteinaemia, Hypoproteinemia, Hypoproteinemias",546
467,hyporeflexia,"Hyporeflexia. Also known as: Achilles tendon reflex decreased, Diminished reflexes, Hyporeflexia",62
468,hypotension,"Hypotension. Also known as: Blood pressure low, Chronic hypotension, Hypotension",918
469,hypothermia,"Hypothermia. Also known as: Hypopyrexia, Hypothermia, Hypothermias",469
470,hypothyroidism,"Hypothyroidism. Also known as: Acquired hypothyroidism, Acquired hypothyroidism other, Hypothyroidism",738
471,hypotonia,"Hypotonia. Also known as: Abdominal flaccidity, Atonia, Atony skeletal muscle",229
472,hypoventilation,"Hypoventilation. Also known as: Hypoventilation, Ventilation difficult, Alveolar hypoventilation",370
473,hypoxia,"Hypoxia. Also known as: Alveolar aeration decreased, Hypoxaemia, Hypoxemia",77
474,ileus,"Ileus. Also known as: Ileus, Ileus of bowel, Ileus of colon",605
475,ileus paralytic,"Ileus paralytic. Also known as: Adynamic ileus, Chronic duodenal ileus, Ileus paralytic",555
476,ill-defined disorder,"Ill-defined disorder. Also known as: Ill defined experience, Ill-defined disorder NOS, Other ill-defined and unknown causes of morbidity and mortality",506
477,immune system disorder,"Immune system disorder. Also known as: Disorder immune system (NOS), Disorders involving the immune mechanism, Immune disorder (NOS)",298
478,impaired gastric emptying,"Impaired gastric emptying. Also known as: Delayed gastric emptying, Gastric stasis, Gastroparesis",721
479,impaired healing,"Impaired healing. Also known as: Delayed healing of wound, Granulation suppressed, Healing abnormal",437
480,impetigo,"Impetigo. Also known as: Impetigo, Impetigo contagious, Impetigo NOS",390
481,inappropriate antidiuretic hormone secretion,"Inappropriate antidiuretic hormone secretion. Also known as: ADH inappropriate, ADH inappropriate secretion, Inapprop. ADH secretion syndrome",524
482,incontinence,"Incontinence. Also known as: Childhood incontinence, Continuous leakage, Incontinence",217
483,increased appetite,"Increased appetite. Also known as: Appetite exaggerated, Appetite excessive, Appetite increased NOS",426
484,increased bronchial secretion,"Increased bronchial secretion. Also known as: Airway secretion excessive, Bronchial secretion excessive, Bronchorrhea",537
485,increased tendency to bruise,"Increased tendency to bruise. Also known as: Increased tendency to bruise, Spontaneous bruising, Tendency to bruise easily",800
486,induration,Induration. Also known as: Induration,189
487,infarction,"Infarction. Also known as: Infarct, Infarct infarction, Infarction NOS",926
488,infection,"Infection. Also known as: Infect and parasitic cond in the mother classifiable elsewhere, but compg preg, c/birth or puerp, Infect and parasitic conds in the mother class elsewhere, but comp preg, c/birth, or the puerp, Infection",777
489,infestation,"Infestation. Also known as: Infestation NOS, Infestation, unspecified, Other infestation",917
490,inflammation,"Inflammation. Also known as: Inflammation localised, Inflammation localized, Inflammation NOS",961
491,influenza,"Influenza. Also known as: Flu, Flu syndrome, Influenza",502
492,influenza like illness,"Influenza like illness. Also known as: Flu like symptoms, Flu-like aching, Flu-like illness",760
493,infusion site pain,"Infusion site pain. Also known as: Burning infusion site, Infusion site pain, Infusion site tenderness",451
494,infusion site reaction,"Infusion site reaction. Also known as: Infusion site reaction, Infusion site maceration, Infusion site muscle reaction",248
495,injection site bruising,Injection site bruising. Also known as: Injection site bruising,785
496,injection site erythema,"Injection site erythema. Also known as: Injection site erythema, Injection site redness, Injection site vascular redness",352
497,injection site haemorrhage,"Injection site haemorrhage. Also known as: Ecchymosis injection site, Hemorrhage injection site, Injection site bleeding",337
498,injection site induration,"Injection site induration. Also known as: Injection site induration, Injection site painful induration, Injection site sclerosis",448
499,injection site inflammation,"Injection site inflammation. Also known as: Inflammation at site of injection, Inflammation injection site, Injection site inflammation",912
500,injection site pain,"Injection site pain. Also known as: Injection site burning, Injection site pain, Injection site tenderness",554
501,injection site pruritus,"Injection site pruritus. Also known as: Injection site itching, Injection site pruritus",513
502,injection site reaction,"Injection site reaction. Also known as: Injection site reaction, Injection site reaction NOS, Reaction injection site (NOS)",69
503,injection site swelling,"Injection site swelling. Also known as: Swelling of injection site, Injection site swelling",123
504,injury,"Injury. Also known as: Accidental injury, Adult maltreatment syndrome, Certain early complications of trauma",531
505,insomnia,"Insomnia. Also known as: Difficulty sleeping, Insomnia, Insomnia (non-organic)",320
506,instillation site pain,"Instillation site pain. Also known as: Instillation site pain, Instillation site allodynia, Instillation site tenderness",391
507,intermittent claudication,"Intermittent claudication. Also known as: Claudication, Claudication intermittent, Intermittent claudication",289
508,international normalised ratio increased,"International normalised ratio increased. Also known as: INR increased, International normalised ratio increased, Raised INR",205
509,interstitial lung disease,"Interstitial lung disease. Also known as: Interstitial lung disease, Interstitial lung fibrosis, Interstitial pneumonia",829
510,intestinal obstruction,"Intestinal obstruction. Also known as: Bowel obstruction, Impaction of intestine, Impaction of intestine, unspecified",897
