drugbank_id,drug_name,description,moa
DB00789,Gadopentetic acid,"A complex of gadolinium with a chelating agent, diethylenetriamine penta-acetic acid (DTPA see pentetic acid), that is given to enhance the image in cranial and spinal MRIs. (From Martindale, The Extra Pharmacopoeia, 30th ed, p706)","Based on the behavior of protons when placed in a strong magnetic field, which is interpreted and transformed into images by magnetic resonance (MR) instruments. MR images are based primarily on proton density and proton relaxation dynamics. MR instruments are sensitive to two different relaxation processes, the T1 (spin-lattice or longitudinal relaxation time) and T2 (spin-spin or transverse relaxation time). Paramagnetic agents contain one or more unpaired electrons that enhance the T1 and T2 relaxation rates of protons in their molecular environment. The proton relaxation effect (PRE) of an unpaired electron is 700 times stronger than that of a proton itself. In MRI, visualization of normal and pathological brain tissue depends in part on variations in the radio frequency signal intensity that occur with changes in proton density, alteration of the T1, and variation in T2. When placed in a magnetic field, gadopentetate dimeglumine shortens the T1 and T2 relaxation times in tissues where it accumulates. In the central nervous system (CNS), gadopentetate dimeglumine enhances visualization of normal tissues that lack a blood-brain barrier, such as the pituitary gland and the meninges. Gadopentetate dimeglumine does not cross the intact blood-brain barrier; therefore, it does not accumulate in normal brain tissue or in CNS lesions that have not caused an abnormal blood-brain barrier (e.g., cysts, mature post-operative scars). Abnormal vascularity or disruption of the blood-brain barrier allows accumulation of gadopentetate dimeglumine in lesions such as neoplasms, abscesses, and subacute infarcts. Outside the CNS, gadopentetate dimeglumine rapidly reaches equilibrium in the interstitial compartment and enhances signal in all tissues as a function of delivery and size of the interstitial compartment.
This compound has also been found to inhibit human erythrocyte 6-phosphogluconate dehydrogenase."
DB00790,Perindopril,"Perindopril is a nonsulfhydryl prodrug that belongs to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is rapidly metabolized in the liver to perindoprilat, its active metabolite, following oral administration. Perindoprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Perindopril may be used to treat mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease.","There are two isoforms of ACE: the somatic isoform, which exists as a glycoprotein comprised of a single polypeptide chain of 1277; and the testicular isoform, which has a lower molecular mass and is thought to play a role in sperm maturation and binding of sperm to the oviduct epithelium. Somatic ACE has two functionally active domains, N and C, which arise from tandem gene duplication. Although the two domains have high sequence similarity, they play distinct physiological roles. The C-domain is predominantly involved in blood pressure regulation while the N-domain plays a role in hematopoietic stem cell differentiation and proliferation. ACE inhibitors bind to and inhibit the activity of both domains, but have much greater affinity for and inhibitory activity against the C-domain. Perindoprilat, the active metabolite of perindopril, competes with ATI for binding to ACE and inhibits and enzymatic proteolysis of ATI to ATII. Decreasing ATII levels in the body decreases blood pressure by inhibiting the pressor effects of ATII as described in the Pharmacology section above. Perindopril also causes an increase in plasma renin activity likely due to a loss of feedback inhibition mediated by ATII on the release of renin and/or stimulation of reflex mechanisms via baroreceptors."
DB00791,Uracil mustard,"Nitrogen mustard derivative of uracil. It is a alkylating antineoplastic agent that is used in lymphatic malignancies, and causes mainly gastrointestinal and bone marrow damage.","After activation, it binds preferentially to the guanine and cytosine moieties of DNA, leading to cross-linking of DNA, thus inhibiting DNA synthesis and function."
DB00792,Tripelennamine,"A histamine H1 antagonist with low sedative action but frequent gastrointestinal irritation. It is used to treat asthma; HAY fever; urticaria; and rhinitis; and also in veterinary applications. Tripelennamine is administered by various routes, including topically.","Tripelennamine binds to the histamine H1 receptor. This blocks the action of endogenous histamine, which subsequently leads to temporary relief of the negative symptoms brought on by histamine."
DB00793,Haloprogin,"Haloprogin is used as a topical ointment or cream in the treatment of Tinea infections. Tinea infections are superficial fungal infections caused by three species of fungi collectively known as dermatophytes (Trichophyton, Microsporum and Epidermophyton). Commonly these infections are named for the body part affected, including tinea corporis (general skin), tinea cruris (groin), and tinea pedis (feet). Haloprogin is a halogenated phenolic ether administered topically for dermotaphytic infections. The mechanism of action is unknown, but it is thought to be via inhibition of oxygen uptake and disruption of yeast membrane structure and function. Haloprogin is no longer available in the United States and has been discontinued.","Haloprogin is a halogenated phenolic ether administered topically for dermotaphytic infections. The mechanism of action is unknown, but is thought to be via inhibition of oxygen uptake and disruption of yeast membrane structure and function. There is a higher incidence of cutaneous side effects with haloprogin, including irritation, burning, vesiculation (blisters), scaling, and itching. It is generally used when the infection is unresponsive to other antifungals."
DB00794,Primidone,"Primidone is an anticonvulsant used to treat essential tremor as well as grand mal, psychomotor, and focal epileptic seizures.[L11112] Primidone was developed by J Yule Bogue and H C Carrington in 1949.[A189522]

Primidone was granted FDA Approval on 8 March 1954.[L11112]","Primidone and its metabolites, phenobarbital and phenylethylmalonamide (PEMA), are active anticonvulsants.[A35660] Primidone does not directly interact with GABA-A receptors or chloride channels but phenobarbital does.[A35660] Primidone alters transmembrane sodium and calcium channel transport, reducing the frequency of nerve firing, which may be responsible for the primidone’s effect on convulsions and essential tremor.[A35660]"
DB00795,Sulfasalazine,"Sulfasalazine is an anti-inflammatory drug structurally related to salicylates and other non-steroidal anti-inflammatory drugs. It is indicated for managing inflammatory diseases such as ulcerative colitis and rheumatoid arthritis (RA).[L39065, A255582] Metabolized by intestinal bacteria, sulfasalazine is broken down into [mesalazine] and [sulfapyridine], 2 compounds that carry out the main pharmacological activity of sulfasalazine.[A255582] 

Sulfasalazine was first used in 1940 for rheumatic polyarthritis, and has been firmly established itself as one fo the most useful disease-modifying antirheumatic drug (DMARD).[A255582] Compared to the first line treatment of RA like methotrexate, sulfasalazine is almost as efficacious as methotrexate although with slightly less tolerability. However, sulfasalazine has less teratogenic side effects and faster onset of action compared to conventional DMARD.[A255582] Sulfasalazine fell out of favor as the drug of choice for RA due to poorly designed clinical trials in 1950 but regained interest from the clinical community in the late 1970.[A255582]

Although sulfasalazine is only approved by the FDA for ulcerative colitis, research have shown that sulfasalazine is also beneficial for patients with Crohn's disease.[A255592] Meta-analysis of 19 randomized controlled trials indicated that sulfasalazine is superior to placebo in inducing remission; however, with no supported evidence of mucosal healing, sulfasalazine is not FDA-recommmended for treatment of Crohn's disease.[A255597,A255602,A255607]","Although the exact mechanism of action of sulfasalazine is not fully understood, it is thought to be mediated through the inhibition of various inflammatory molecules.[L44478] Research have found that sulfasalazine and its metabolites, mesalazine and sulfapyridine, can inhibit leukotrienes and prostaglandins by blocking the cyclo-oxygenase and lipoxygenase pathway.[A255143] Specific enzymes that were investigated include phospholipase A2, cyclooxygenase-1 (COX-1), cyclooxygenase-2 (COX2), and arachidonate 5-lipoxygenase.[A16801,A10316,A4391,A10319] Inhibitory activities on other non-arachidonic acid derivatives have also been observed, including PPAR gamma, NF-Kb, and IkappaB kinases alpha and beta.[A16799,A16797,A255577,A255138]"
DB00796,Candesartan cilexetil,"Candesartan is an angiotensin-receptor blocker (ARB) that may be used alone or with other agents to treat hypertension. It is administered orally as the prodrug, candesartan cilexetil, which is rapidly converted to its active metabolite, candesartan, during absorption in the gastrointestinal tract. Candesartan lowers blood pressure by antagonizing the renin-angiotensin-aldosterone system (RAAS); it competes with angiotensin II for binding to the type-1 angiotensin II receptor (AT1) subtype and prevents the blood pressure increasing effects of angiotensin II. Unlike angiotensin-converting enzyme (ACE) inhibitors, ARBs do not have the adverse effect of dry cough. Candesartan may be used to treat hypertension, isolated systolic hypertension, left ventricular hypertrophy and diabetic nephropathy. It may also be used as an alternative agent for the treatment of heart failure, systolic dysfunction, myocardial infarction and coronary artery disease.","Candesartan selectively blocks the binding of angiotensin II to AT1 in many tissues including vascular smooth muscle and the adrenal glands. This inhibits the AT1-mediated vasoconstrictive and aldosterone-secreting effects of angiotensin II and results in an overall decrease in blood pressure. Candesartan is greater than 10,000 times more selective for AT1 than AT2. Inhibition of aldosterone secretion may increase sodium and water excretion while decreasing potassium excretion."
DB00797,Tolazoline,"A vasodilator that apparently has direct actions on blood vessels and also increases cardiac output. Tolazoline can interact to some degree with histamine, adrenergic, and cholinergic receptors, but the mechanisms of its therapeutic effects are not clear. It is used in treatment of persistent pulmonary hypertension of the newborn.","Vasodilation by means of a direct effect on peripheral vascular smooth muscle and indirect effects produced, in part, by release of endogenous histamine; tolazoline has moderate alpha-adrenergic blocking activity and has histamine agonist activity. Tolazoline usually reduces pulmonary arterial pressure and vascular resistance."
DB00798,Gentamicin,"Gentamicin is a bactericidal aminoglycoside that was discovered and isolated from _Micromonospora purpurea_ in 1963.[A234349] It is one of the most frequently prescribed aminoglycosides due to its spectrum of activity, low cost, and availability.[A234339,A234354] Gentamicin is effective against both gram-positive and gram-negative organisms but is particularly useful for the treatment of severe gram-negative infections including those caused by _Pseudomonas aeruginosa_.[A233325,A234359,A234364] There is the added benefit of synergy when gentamicin is co-administered with other antibacterials such as beta-lactams.[A234364] This synergistic activity is not only important for the treatment of complex infections, but can also contribute to dose optimization and reduced adverse effects.[A234359,A234364]

Although gentamicin is well-established and may be used in a variety of clinical applications, it is also associated with severe adverse effects including nephrotoxicity and ototoxicity which may limit its use.[A234369]","There are 3 key phases of aminoglycoside entry into cells.[A232294] The first “ionic binding phase” occurs when polycationic aminoglycosides bind electrostatically to negatively charged components of bacterial cell membranes including with lipopolysaccharides and phospholipids within the outer membrane of Gram-negative bacteria and to teichoic acids and phospholipids within the cell membrane of Gram-positive bacteria. This binding results in displacement of divalent cations and increased membrane permeability, allowing for aminoglycoside entry.[A232294, A232304, A232309, A232314]
The second “energy-dependent phase I” of aminoglycoside entry into the cytoplasm relies on the proton-motive force and allows a limited amount of aminoglycoside access to its primary intracellular target - the bacterial 30S ribosome.[A232294, A232314] This ultimately results in the mistranslation of proteins and disruption of the cytoplasmic membrane.[A233320] Finally, in the “energy-dependent phase II” stage, concentration-dependent bacterial killing is observed. Aminoglycoside rapidly accumulates in the cell due to the damaged cytoplasmic membrane, and protein mistranslation and synthesis inhibition is amplified.[A232294, A232314, A232319] The necessity of oxygen-dependent active transport explains why aminoglycosides are ineffective against anaerobic bacteria.[A234130]
Hence, aminoglycosides have both immediate bactericidal effects through membrane disruption and delayed bactericidal effects through impaired protein synthesis; observed experimental data and mathematical modeling support this two-mechanism model.[A232294, A232299]
Inhibition of protein synthesis is a key component of aminoglycoside efficacy. Structural and cell biological studies suggest that aminoglycosides bind to the 16S rRNA in helix 44 (h44), near the A site of the 30S ribosomal subunit, altering interactions between h44 and h45. This binding also displaces two important residues, A1492 and A1493, from h44, mimicking normal conformational changes that occur with successful codon-anticodon pairing in the A site.[A232324, A232329] Overall, aminoglycoside binding has several negative effects including inhibition of translation, initiation, elongation, and ribosome recycling.[A232294, A232334, A232339] Recent evidence suggests that the latter effect is due to a cryptic second binding site situated in h69 of the 23S rRNA of the 50S ribosomal subunit.[A232329, A232339] Also, by stabilizing a conformation that mimics correct codon-anticodon pairing, aminoglycosides promote error-prone translation.[A232344] Mistranslated proteins can incorporate into the cell membrane, inducing the damage discussed above.[A232294, A232319]"
DB00799,Tazarotene,"Tazarotene, commonly marketed as Tazorac®, Avage®, and Zorac®, is member of the acetylenic class of retinoids. It is a prodrug that is found in topical formulations used in the treatment of various conditons, such as psoriasis, acne, and sun damaged skin (photodamage).","Although the exact mechanism of tazarotene action is not known, studies have shown that the active form of the drug (tazarotenic acid) binds to all three members of the retinoic acid receptor (RAR) family: RARa, RARb, and RARg, but shows relative selectivity for RARb, and RARg and may modify gene expression. It also has affinity for RXR receptors."
DB00800,Fenoldopam,A dopamine D1 receptor agonist that is used as an antihypertensive agent. It lowers blood pressure through arteriolar vasodilation.,"Fenoldopam is a rapid-acting vasodilator. It is an agonist for D<sub>1</sub>-like dopamine receptors and binds with moderate affinity to &alpha;<sub>2</sub>-adrenoceptors. It has no significant affinity for D<sub>2</sub>-like receptors, &alpha;<sub>1</sub> and &beta;-adrenoceptors, 5<sub>HT1</sub> and 5<sub>HT2</sub> receptors, or muscarinic receptors. Fenoldopam is a racemic mixture with the R-isomer responsible for the biological activity. The R-isomer has approximately 250-fold higher affinity for D<sub>1</sub>-like receptors than does the S-isomer. In non-clinical studies, fenoldopam had no agonist effect on presynaptic D<sub>2</sub>-like dopamine receptors, or &alpha; or &beta; -adrenoceptors, nor did it affect angiotensin-converting enzyme activity. Fenoldopam may increase norepinephrine plasma concentration."
DB00801,Halazepam,"Halazepam is a _benzodiazepine_ derivative drug exerting anxiolytic, anticonvulsant, sedative, a muscle relaxing effects.[A1212, A178114] It has been shown to be less toxic than chlordiazepoxide or diazepam.[A1212] This drug is no longer marketed in the United States, and was withdrawn by _Schering_, its manufacturer, in 2009.[L6226, L6229]","Benzodiazepines bind nonspecifically to benzodiazepine receptors BNZ1, which mediates sleep, and BNZ2, which affects affects muscle relaxation, anticonvulsant activity, motor coordination, and memory. As benzodiazepine receptors are thought to be coupled to gamma-aminobutyric acid-A (GABAA) receptors, this enhances the effects of GABA by increasing GABA affinity for the GABA receptor. Binding of GABA to the site opens the chloride channel, resulting in a hyperpolarized cell membrane that prevents further excitation of the cell."
DB00802,Alfentanil,"A short-acting opioid anesthetic and analgesic derivative of fentanyl. It produces an early peak analgesic effect and fast recovery of consciousness. Alfentanil is effective as an anesthetic during surgery, for supplementation of analgesia during surgical procedures, and as an analgesic for critically ill patients.","Opiate receptors are coupled with G-protein receptors and function as both positive and negative regulators of synaptic transmission via G-proteins that activate effector proteins. Binding of the opiate stimulates the exchange of GTP for GDP on the G-protein complex. As the effector system is adenylate cyclase and cAMP located at the inner surface of the plasma membrane, opioids decrease intracellular cAMP by inhibiting adenylate cyclase. Subsequently, the release of nociceptive neurotransmitters such as substance P, GABA, dopamine, acetylcholine and noradrenaline is inhibited. Opioids also inhibit the release of vasopressin, somatostatin, insulin and glucagon. Alfentanil's analgesic activity is, most likely, due to its conversion to morphine. Opioids close N-type voltage-operated calcium channels (OP2-receptor agonist) and open calcium-dependent inwardly rectifying potassium channels (OP3 and OP1 receptor agonist). This results in hyperpolarization and reduced neuronal excitability."
DB00803,Colistin,"Cyclic polypeptide antibiotic from Bacillus colistinus. It is composed of Polymyxins E1 and E2 (or Colistins A, B, and C) which act as detergents on cell membranes. Colistin is less toxic than Polymyxin B, but otherwise similar; the methanesulfonate is used orally.","Colistin is a surface active agent which penetrates into and disrupts the bacterial cell membrane. Colistin is polycationic and has both hydrophobic and lipophilic moieties. It interacts with the bacterial cytoplasmic membrane, changing its permeability. This effect is bactericidal. There is also evidence that polymyxins enter the cell and precipitate cytoplasmic components, primarily ribosomes."
DB00804,Dicyclomine,"Dicyclomine is a muscarinic M1, M3, and M2 receptor antagonist as well as a non-competitive inhibitor of histamine and bradykinin used to treat spasms of the intestines seen in functional bowel disorder and irritable bowel syndrome.[A6556,A182555,A234659,L7967] Though it is commonly prescribed, its recommendation may have been based on a small amount of evidence and so its prescription is becoming less favourable.[L7982]

Dicyclomine was granted FDA approval on 11 May 1950.[L7967]","Dicyclomine achieves its action partially through direct antimuscarinic activity of the M1, M3, and M2 receptors; and partially through antagonism of bradykinin and histamine.[A6556,A182555,A234659,L7967] Dicyclomine non-competitively inhibits the action of bradykinin and histamine, resulting in direct action on the smooth muscle, and decreased strength of contractions seen in spasms of the ileum.[A182555]"
DB00805,Minaprine,"Minaprine is a psychotropic drug which has proved to be effective in the treatment of various depressive states. Like most antidepressants minaprine antagonizes behavioral despair. Minaprine  is an amino-phenylpyridazine antidepressant reported to be relatively free of cardiotoxicity, drowsiness, and weight gain.","Minaprine binds to serotonin type 2 receptors and to dopamine D1 and D2 type receptors. It also binds to the serotonin reuptake pump. Therefore, minaprine blocks the reuptake of both dopamine and serotonin. It is also, to a slight degree, cholinomimetic. Thus it may exhibit both mood-brightening and nootropic properties. It also acts as a reversible inhibitor of MAO-A (RIMA).It has also been found to inhibit acetylcholinesterase."
DB00806,Pentoxifylline,"Pentoxifylline (PTX) is a synthetic dimethylxanthine derivative that modulates the rheological properties of blood and also has both anti-oxidant and anti-inflammatory properties.[A226415, L30300] Although originally developed to treat intermittent claudication, a form of exertion-induced leg pain common in patients with peripheral arterial disease, PTX has been investigated for its possible use in diverse conditions, including osteoradionecrosis, diabetic kidney disease, and generally any condition associated with fibrosis.[A226410, A226415, A226455] More recently, PTX has been suggested as a possible treatment for COVID-19-induced pulmonary complications due to its ability to regulate the production of inflammatory cytokines.[A226608]

Pentoxifylline has been marketed in Europe since 1972; PTX extended-release tablets sold under the trade name TRENTAL by US Pharm Holdings were first approved by the FDA on Aug 30, 1984, but have since been discontinued. A branded product, PENTOXIL, marketed by Upsher-Smith Laboratories, and generic forms marketed by Valeant Pharmaceuticals and APOTEX have been available since the late 1990s.[L30300]","Patients with peripheral arterial disease (PAD) may suffer from intermittent claudication, exertional leg pain that resolves upon rest, which is underscored by a complex etiology including vascular dysfunction (reduced limb perfusion, angiogenesis, and microcirculatory flow), systemic inflammation, and skeletal muscle dysfunction.[A226410] Pentoxifylline (PTX), (3,7-dimethyl-1-(5-oxohexyl)-3,7-dihydro-1H-purine-2,6-dione) or 1-(5-oxohexyl)-3,7-­dimethylxanthine, is a methyl-xanthine derivative that acts to lower blood viscosity by increasing erythrocyte flexibility, reducing plasma fibrinogen, inhibiting neutrophil activation, and suppressing erythrocyte/platelet aggregation; it also has antioxidant and anti-inflammatory effects.[A226415, L30300] Although the precise mechanism of action has yet to be elucidated, numerous studies have suggested several effects of PTX.

The classical interpretation of PTX's broad effects is due to its ability to act, _in vitro_, as a non-specific cyclic-3',5'-phosphodiesterase (PDE) inhibitor at millimolar concentrations; specifically, it has been proposed that inhibition of PDE type III and IV isozymes leads to elevated cyclic adenosine monophosphate (cAMP) levels, which mediate diverse downstream effects.[A226420, A226425, A226430] This view has been challenged, specifically by observing those plasma concentrations of PTX in routine clinical use are typically only around 1μM, far lower than those used to inhibit PDEs _in vitro_.[A226430] Instead, several studies have suggested that PTX can modulate adenosine receptor function, specifically the Gα-coupled A2A receptor (A2AR). Whether PTX acts directly as an A2AR agonist is unclear, although it can clearly increase the response of A2AR to adenosine.[A16840, A16821, A226350, A226435] A2AR activation activates adenylyl cyclase, which increases intracellular cAMP levels; this observation may explain PTX's ability to increase intracellular cAMP in a PDE-independent fashion.[A226440]

Elevated cAMP levels have numerous downstream effects. cAMP-mediated activation of protein kinase A (PKA) suppresses nuclear translocation of NF-κB, which suppresses transcription of pro-inflammatory cytokines such as tumour necrosis factor (TNF-α), interleukin-1 (IL-1), and IL-6 as well as TNF-induced molecules such as adhesion molecules (ICAM1 and VCAM1) and the C-reactive protein (CRP).[A226415, A226445, A226450, A226455] PTX has also been shown to prevent the downstream phosphorylation of p38 MAPK and ERK, which are responsible for assembling the NADPH oxidase involved in the neutrophil oxidative burst. This effect is due to a PKA-independent decrease in Akt phosphorylation and a PKA-dependent decrease in phosphorylation of p38 MAPK and ERK.[A226450, A226465, A226470] This transcriptional regulation at least partially explains the anti-inflammatory and anti-oxidative properties of PTX.

Also, activated PKA can activate the cAMP response element-binding protein (CREB), which itself blocks SMAD-driven gene transcription, effectively disrupting transforming growth factor (TGF-β1) signalling.[A226440, A226475] This results in lower levels of fibrinogenic molecules such as collagens, fibronectin, connective tissue growth factor, and alpha-smooth muscle actin.[A226440, A226450, A226475, A226460] Hence, disruption of TGF-β1 signalling may explain the anti-fibrotic effects of PTX, including at least some of the decrease in blood viscosity.

The picture is complicated by the observation that PTX metabolites M1, M4, and M5 have been shown to inhibit C5 Des Arg- and formyl-methionylleucylphenylalanine-induced superoxide production in neutrophils and M1 and M5 significantly contribute to PTX's observed hemorheological effects.[A226415, A226430, A226480] Overall, PTX administration is associated with decreased pro-inflammatory molecules, an increase in anti-inflammatory molecules such as IL-10, and decreased production of fibrinogenic and cellular adhesion molecules."
DB00807,Proparacaine,Proparacaine is a topical anesthetic drug of the amino ester group. It is found in ophthalmic solutions at a concentration of 0.5% as the hydrochloride salt.,"The exact mechanism whereby proparacaine and other local anesthetics influence the permeability of the cell membrane is unknown; however, several studies indicate that local anesthetics may limit sodium ion permeability through the lipid layer of the nerve cell membrane. Proparacaine may alter epithelial sodium channels through interaction with channel protein residues. This limitation prevents the fundamental change necessary for the generation of the action potential."
DB00808,Indapamide,"The most significant modifiable risk factor for cardiovascular disease and the most prominent contributor to all-cause mortality is hypertension.[A204155] Characterized by an office blood pressure of ≥140/90, hypertension is pervasive and impacts an estimated 25% of adults globally.[A204155] Treatment for hypertension should include a number of lifestyle changes (ie. reduced sodium intake) along with pharmacotherapy - it should be noted that treatment with several antihypertensive agents may be required in order to achieve blood pressure targets.[A204155]

Thiazide-like diuretics such as indapamide are a valuable tool for the treatment of hypertension and continue to grow in popularity, falling behind only ACE inhibitors in terms of prescription frequency.[A204134] When compared to [hydrochlorothiazide] (another commonly prescribed diuretic), indapamide has been shown to be superior at lowering systolic blood pressure, reducing left ventricular mass index, lowering oxidative stress, inhibiting platelet aggregation, and reducing microalbuminuria associated with diabetes.[A204134] Interestingly, unlike thiazide diuretics, several sources suggest that indapamide is not associated with glucose or lipid disturbances.[A204134,A204161] 

Indapamide is characterized by both a methylindoline and a sulfamoyl chlorobenzamide functional group, with the former being largely responsible for the molecule’s lipid solubility.[A204158]","Indapamide acts on the nephron, specifically at the proximal segment of the distal convoluted tubule where it inhibits the Na+/Cl- cotransporter, leading to reduced sodium reabsorption.[A203519,A16729] As a result, sodium and water are retained in the lumen of the nephron for urinary excretion.[A185180] The effects that follow include reduced plasma volume, reduced venous return, lower cardiac output, and ultimately decreased blood pressure.[A16729]

Interestingly, it is likely that thiazide-like diuretics such as indapamide have additional blood pressure lowering mechanisms that are unrelated to diuresis.[A16729] This is exemplified by the observation that the antihypertensive effects of thiazides are sustained 4-6 weeks after initiation of therapy, despite recovering plasma and extracellular fluid volumes.[A16729] 

Some studies have suggested that indapamide may decrease responsiveness to pressor agents while others have suggested it can decrease peripheral resistance.[A203627] Although it is clear that diuresis contributes to the antihypertensive effects of indapamide, further studies are needed to investigate the medication’s ability to decrease peripheral vascular resistance and relax vascular smooth muscle.[A203627]"
DB00809,Tropicamide,"Tropicamide is an alkaloid atropine‐derived anticholinergic drug and a non‐selective antagonist of muscarinic acetylcholine (mACh) receptors.[A230103] Usually available in ophthalmic formulations, tropicamide is used to cause mydriasis and cycloplegia for eye exams or ocular procedures.[A229958] It is also used in combination with [hydroxyamphetamine] for the same indication.[L32178] Oral tropicamide has been investigated as a potential drug to relieve sialorrhea in patients with Parkinson's Disease.[A229958]","Muscarinic acetylcholine receptors are involved in numerous ocular functions. The M<sub>3</sub> subtype is predominantly expressed by smooth muscle cells of the sphincter pupillae, which is a circular muscle of the iris, and ciliary muscles. In response to light or binding of acetylcholine, M<sub>3</sub> receptor signalling leads to contraction of the sphincter pupillae and pupil constriction. Contraction of the ciliary muscle via M<sub>3</sub> receptor signalling also leads to accommodation, adjusting the lens for near vision.[A230178] The eye is also innervated by parasympathetic nerves: ciliary ganglion neurons project to the ciliary body and the sphincter pupillae muscle of the iris to control ocular accommodation and pupil constriction.[A230183] 

Tropicamide is a non-selective muscarinic antagonist that binds to all subtypes of muscarinic receptors. By binding to muscarinic receptors, tropicamide relaxes the pupillary sphincter muscle and causes pupil dilation.[A229958] By blocking the muscarinic receptors of the ciliary body, tropicamide also prevents accommodation.[A230178] Like other muscarinic antagonists, tropicamide inhibits the parasympathetic drive, allowing the sympathetic nervous system responses to dominate.[A229958] Tropicamide is thought to ameliorate sialorrhea by blocking M<sub>4</sub> receptors expressed on salivary glands and reducing hypersalivation.[A229958]"
DB00810,Biperiden,"A muscarinic antagonist that has effects in both the central and peripheral nervous systems. It has been used in the treatment of arteriosclerotic, idiopathic, and postencephalitic parkinsonism. It has also been used to alleviate extrapyramidal symptoms induced by phenothiazine derivatives and reserpine.","Parkinsonism is thought to result from an imbalance between the excitatory (cholinergic) and inhibitory (dopaminergic) systems in the corpus striatum. The mechanism of action of centrally active anticholinergic drugs such as biperiden is considered to relate to competitive antagonism of acetylcholine at cholinergic receptors in the corpus striatum, which then restores the balance."
